"","Person's Residence in County","total_vacc"
"1","Alcona",4354
"2","Alger",4231
"3","Allegan",37241
"4","Alpena",11316
"5","Antrim",9450
"6","Arenac",5305
"7","Baraga",2562
"8","Barry",18671
"9","Bay",39135
"10","Benzie",7622
"11","Berrien",51052
"12","Branch",12209
"13","Calhoun",39131
"14","Cass",12249
"15","Charlevoix",11374
"16","Cheboygan",9740
"17","Chippewa",13933
"18","Clare",9617
"19","Clinton",29491
"20","Crawford",4922
"21","Delta",12833
"22","Detroit",132291
"23","Dickinson",8557
"24","Eaton",38595
"25","Emmet",15175
"26","Genesee",120129
"27","Gladwin",8725
"28","Gogebic",4934
"29","Grand Traverse",39879
"30","Gratiot",12056
"31","Hillsdale",11711
"32","Houghton",10722
"33","Huron",12198
"34","Ingham",100220
"35","Ionia",19546
"36","Iosco",9609
"37","Iron",4090
"38","Isabella",19970
"39","Jackson",52197
"40","Kalamazoo",101036
"41","Kalkaska",5657
"42","Kent",241546
"43","Keweenaw",858
"44","Lake",3435
"45","Lapeer",23945
"46","Leelanau",11350
"47","Lenawee",28873
"48","Livingston",66915
"49","Luce",2043
"50","Mackinac",4812
"51","Macomb",279033
"52","Manistee",10262
"53","Marquette",28209
"54","Mason",11751
"55","Mecosta",11755
"56","Menominee",5026
"57","Midland",34051
"58","Missaukee",4802
"59","Monroe",37970
"60","Montcalm",16604
"61","Montmorency",3700
"62","Muskegon",59150
"63","Newaygo",13224
"64","No County",7576
"65","Non-Michigan Resident",24277
"66","Oakland",496337
"67","Oceana",8869
"68","Ogemaw",6320
"69","Ontonagon",2448
"70","Osceola",6120
"71","Oscoda",2428
"72","Otsego",8961
"73","Ottawa",102723
"74","Presque Isle",5685
"75","Roscommon",8744
"76","Saginaw",66069
"77","Sanilac",11698
"78","Schoolcraft",3158
"79","Shiawassee",21449
"80","St. Clair",47415
"81","St. Joseph",16405
"82","Tuscola",16179
"83","Van Buren",24893
"84","Washtenaw",151163
"85","Wayne",390458
"86","Wexford",11071
