capital,Latitude,Country,
Abu Dhabi,24.47, United Arab Emirates,
Abuja,9.07, Nigeria,
Accra,5.55, Ghana,
Adamstown,-25.07, Pitcairn Islands,British Overseas Territory
Addis Ababa,9.02, Ethiopia,
Algiers,36.77, Algeria,
Alofi,-19.07, Niue,Self-governing in free association with New Zealand
Amman,31.93, Jordan,
Amsterdam,52.37, Netherlands,"The Dutch constitution refers to Amsterdam as the ""capital"". The Dutch government is located in The Hague. See Capital of the Netherlands."
Andorra la Vella,42.5, Andorra,
Ankara,39.87, Turkey,
Antananarivo,-18.93, Madagascar,
Apia,13.83, Samoa,
Ashgabat,37.93, Turkmenistan,
Asmara,15.33, Eritrea,
Asunción,-25.27, Paraguay,
Athens,37.97, Greece,
Avarua,-21.2, Cook Islands,Self-governing in free association with New Zealand.
Baghdad,33.33, Iraq,
Baku,40.38, Azerbaijan,
Bamako,12.65, Mali,
Bandar Seri Begawan,4.88, Brunei,
Bangkok,13.75, Thailand,
Bangui,4.37, Central African Republic,
Banjul,13.45, Gambia,
Basseterre,17.3, Saint Kitts and Nevis,
Beijing,39.9, China,See also: List of historical capitals of China
Beirut,33.88, Lebanon,
Belfast,54.6, Northern Ireland,Northern Ireland is a constituent country of the United Kingdom
Belgrade,44.82, Serbia,
Belmopan,17.25, Belize,
Berlin,52.52, Germany,
Bern,46.95,  Switzerland,
Bishkek,42.87, Kyrgyzstan,
Bissau,11.85, Guinea-Bissau,
Bloemfontein (judicial),-29.12, South Africa,
Bogotá,4.58, Colombia,
Brasília,-15.78, Brazil,
Bratislava,48.13, Slovakia,
Brazzaville,-4.27, "Congo, Republic of the",
Bridgetown,13.1, Barbados,
Brussels,50.85, Belgium,Also the de facto capital of the  European Union
Bucharest,44.42, Romania,
Budapest,47.47, Hungary,
Buenos Aires,-34.6, Argentina,
Cairo,30.05, Egypt,
Canberra,-35.3, Australia,
Cape Town (legislative),-33.92, South Africa,
Caracas,10.5, Venezuela,
Cardiff,51.29, Wales,Wales is a constituent country of the United Kingdom
Castries,14.02, Saint Lucia,
Cayenne,4.92, French Guiana,Overseas department of France
Charlotte Amalie,18.35, United States Virgin Islands,Territory of the United States
Chi?in?u,47, Moldova,
Conakry,9.52, Guinea,
Copenhagen,55.67, Denmark,
Dakar,14.68, Senegal,
Damascus,33.5, Syria,
Dhaka,23.73, Bangladesh,
Dili,-8.57, East Timor,
Djibouti,11.58, Djibouti,
Dodoma (official),,,
Dar es Salaam (former capital; some government offices remaining),-6.17, Tanzania,
Doha,25.28, Qatar,
Douglas,54.13, Isle of Man,British Crown Dependency
Dublin,53.33, Ireland,
Dushanbe,38.53, Tajikistan,
Edinburgh,55.95, Scotland,Scotland is a constituent country of the United Kingdom
Edinburgh of the Seven Seas,-37.07, Tristan da Cunha,"Part of the British Overseas Territory of Saint Helena, Ascension and Tristan da Cunha"
El Aaiún(declared),27.15, Sahrawi Arab Democratic Republic [c],"The Sahrawi Republic, recognised by 82 states, claims the mostly Moroccan controlled Western Sahara. Moroccan controlled territory includes El Aaiún, and Morocco claims all Sahrawi controlled territory. The Sahrawi government resides in exile in Tindouf, Algeria.[1] See Politics of the Sahrawi Arab Democratic Republic."
Episkopi Cantonment,34.67, Akrotiri and Dhekelia,British Overseas Territory
Flying Fish Cove,-10.42, Christmas Island,External territory of Australia
Freetown,8.48, Sierra Leone,
Funafuti,-8.52, Tuvalu,
Gaborone,-24.65, Botswana,
George Town,19.3, Cayman Islands,British Overseas Territory
Georgetown,-7.92, Ascension Island,"Part of the British Overseas Territory of Saint Helena, Ascension and Tristan da Cunha"
Georgetown,6.8, Guyana,
Gibraltar,36.13, Gibraltar,British Overseas Territory
Gitega,-3.43, Burundi,
Guatemala City,14.6, Guatemala,
Gustavia,17.88, Saint Barthélemy,Overseas collectivity of France
Hagåtña,13.47, Guam,Territory of the United States
Hamilton,32.28, Bermuda,British Overseas Territory
