"country","holiday_name","independence_date","Independence Year","Details"
" Afghanistan","Afghan Independence Day","August 19",1919,"Independence from the United Kingdom in 1919."
" Albania","Independence Day/Dita e Pavar�sis�","November 28",1912,"Declared by Ismail Qemal Vlora in 1912 and signaled the end of five centuries of Ottoman rule."
" Algeria","Independence Day","July 5",1962,"Independence from France in 1962."
" Angola",,"November 11",1975,"Independence from Portugal in 1975."
" Anguilla","Anguilla Day","May 30",1967,"Independence from St. Christopher-Nevis-Anguilla in 1967."
" Antigua and Barbuda","Independence Day [1]","November 1",1981,"Independence from the United Kingdom in 1981."
" Argentina","Independence Day","July 9",1816,"Independence declared from the Spanish Empire in 1816."
" Armenia",,"May 28",1918,"Declaration of independence from Russian Empire in 1918."
" Armenia",,"September 21","Independence from the Soviet Union in 1991.",
" Austria","National Day","October 26",1955,"Restoration of sovereignty and signing of the Declaration of Neutrality in 1955."
" Azerbaijan","Republic Day","May 28",1918,"Independence from the Russian Empire in 1918 and declaration of the Republic."
"Independence Day",,"October 18","Independence re-declared from the Soviet Union in 1991.",
" Bahamas","Bahamian Independence Day","July 10",1973,"Independence from the United Kingdom in 1973."
" Bahrain","Bahrain Independence Day","December 16",1971,"Independence from the United Kingdom in 1971."
" Bangladesh","Independence Day of Bangladesh","March 26",1971,"Independence was declared from Pakistan and this led to a nine-month war ending on December 16, 1971."
" Barbados","Independence Day","November 30",1966,"Independence from the United Kingdom in 1966."
" Belarus","Independence Day","July 3",1944,"The liberation of Minsk after several years of German occupation in 1944."
" Belgium","Belgian National Day","July 21",1831,"Independence from the United Netherlands (Belgian revolution) on October 4, 1830. Leopold of Saxe-Coburg-Saalfeld took the oath as first King of the Belgians on July 21, 1831."
" Belize","September Celebrations","September 21",1981,"Independence from the United Kingdom in 1981."
" Benin",,"August 1",1960,"Independence from France in 1960."
" Bolivia",,"August 6",1825,"Independence from Spain in 1825."
" Bosnia and Herzegovina","Independence Day","March 1",1992,"Independence from the Socialist Federal Republic of Yugoslavia in 1992."
" Botswana","Independence Day","September 30",1966,"Independence from the United Kingdom in 1966"
