Timestamp,Are these things sports? [Chess],Are these things sports? [eSports (Videogames)],Are these things sports? [Ping Pong (Table Tennis)],Are these things sports? [Foosball],Are these things sports? [Skiing],Are these things sports? [Snowboarding],Are these things sports? [Cycling],Are these things sports? [Bowling],Are these things sports? [Golf],Are these things sports? [Ultimate Frisbee],Are these things sports? [Sailing],Are these things sports? [Rowing (Crew)],Are these things sports? [Frisbee Golf],Are these things sports? [Kickball],Are these things sports? [Scrabble],Are these things sports? [Cornhole],Are these things sports? [Pickleball],"In a few words, what makes a sport a sport in your opinion?",Which of the following have you played in the past year?,Which of the following is your favorite to play?,How often would you say you watch televised sports or sports content on channels like ESPN?,Which one of the following best describes you?,Please rate your opinion towards P.E./Gym Class when you were in school.,What is your age?,To which gender do you most closely identify?,Which race/ethnicity best describes you? (Please choose only one.),What was your total household income before taxes during the past 12 months?,In which state do you currently live?,"What zip code did you grow up in? (Enter ""00000"" if outside of the US)",Are these things sports? [NASCAR],Are these things sports? [Crossfit]
10/18/2019 11:12:47,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Never heard of/Don't know what this is,Some combination of intense physicality and competition (apparently?),eSports (Videogames),eSports (Videogames),Once a month,Not a mainstream/traditional sports fan,1,35-39,Female,White/Caucasian,"Over $100,000",Virginia,49349,,
10/18/2019 11:16:48,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Never heard of/Don't know what this is,"Physical exertion, technical prowess. The less you move, the more accurate you must be. ",Cornhole,Scrabble,Never,Not a mainstream/traditional sports fan,2,30-34,Female,Asian/Pacific Islander,"Over $100,000",New York,11530,,
10/18/2019 11:17:20,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Individual or team activity relying on physical acuity with minimal equipment,"Skiing, Cycling, Ping Pong, Cornhole",Ping Pong,Once a month,Not a mainstream/traditional sports fan,2,30-34,Male,White/Caucasian,"Over $100,000",New York,12590,,
10/18/2019 11:18:03,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,"The intensity of training, the margins of victory.  And the general asthetic.","eSports (Videogames), Skiing, Cycling, Bowling, Scrabble, Cornhole",Skiing,Once a week,Casual mainstream/traditional sports fan,5,50+,Female,White/Caucasian,"Over $100,000",Washington,94546,,
10/18/2019 11:19:27,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Focused competition with an end goal and a recognized authority or league,"Chess, eSports (Videogames), Skiing, Cycling, Ping Pong, Foosball, Scrabble, Cornhole",Cycling,Once a month,Casual mainstream/traditional sports fan,2,25-29,Female,White/Caucasian,"Over $100,000",District of Columbia,53190,,
10/18/2019 11:23:39,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Never heard of/Don't know what this is,An individual or team activity with a clear goal and/or consistent scoring which depends on the cultivation of more than one physical fitness-related trait,"Cycling, Cornhole",Cycling,Once a month,Avid mainstream/traditional sports fan,3,25-29,Prefer not to say,White/Caucasian,"Under $50,000",Michigan,48167,,
10/18/2019 11:37:55,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Never heard of/Don't know what this is,sweat and sadness ,"Chess, Scrabble",Scrabble,Once a month,Not a mainstream/traditional sports fan,1,30-34,Female,White/Caucasian,Not sure/Refuse,Outside of US,00000,,
10/18/2019 11:38:02,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Never heard of/Don't know what this is,Never heard of/Don't know what this is,"Competitive game that has an international competition, watched by spectators?","Soccer, Cycling, Ping Pong, Scrabble",Ping Pong,Never,Casual mainstream/traditional sports fan,3,30-34,Female,White/Caucasian,"$50,000 to $100,000",Outside of US,00000,,
10/18/2019 11:38:39,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Never heard of/Don't know what this is,"Some form of competition, classic sports generally putting a greater emphasis on physical ability. So if pressed Chess would be a sport, but not as much of one as say, golf, which is in turn less than baseball.","Chess, eSports (Videogames), Skiing, Cycling, Ping Pong, Foosball, Scrabble",Chess,Never,Not a mainstream/traditional sports fan,4,18-24,Male,White/Caucasian,"Over $100,000",New York,10023,,
10/18/2019 11:42:28,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Never heard of/Don't know what this is,Never heard of/Don't know what this is,IT JUST IS,Scrabble,Scrabble,Once a month,Casual mainstream/traditional sports fan,1,18-24,Female,White/Caucasian,"Under $50,000",Outside of US,00000,,
10/18/2019 11:49:54,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Never heard of/Don't know what this is,Not a Sport - Feel Strongly,Never heard of/Don't know what this is,Sport - Feel Strongly,Sport - Don't Feel Strongly,Never heard of/Don't know what this is,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Never heard of/Don't know what this is,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Never heard of/Don't know what this is,Physical/athletic exertion and an obvious scoring or point syestem.  Or how much i want to watch it in the olympics,"Chess, Scrabble",Soccer,Never,Not a mainstream/traditional sports fan,2,25-29,Female,White/Caucasian,"Under $50,000",District of Columbia,70447,,
10/18/2019 11:52:57,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Never heard of/Don't know what this is,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Never heard of/Don't know what this is,Never heard of/Don't know what this is,Physical effort requiring skill and technique,Soccer,Skiing,Never,Casual mainstream/traditional sports fan,1,18-24,Female,White/Caucasian,"Under $50,000",Outside of US,11111,,
10/18/2019 11:54:19,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Never heard of/Don't know what this is,"Requires physical skill, can be objectively measured","Chess, eSports (Videogames), Cycling, Bowling, Cornhole",Cycling,A few times a week,Avid mainstream/traditional sports fan,4,30-34,Male,White/Caucasian,"$50,000 to $100,000",Texas,77079,,
