rank,artist,album
50,Dua Lipa,Future Nostalgia (Warner)
49,Nuvolascura,As We Suffer From Memory And Imagination (Zegema Beach Records/Dog Knights Productions)
48,Kehlani,It Was Good Until It Wasn't (Atlantic)
47,Emma Ruth Rundle & Thou,May Our Chambers Be Full (Sacred Bones)
46,Couch Slut,Take A Chance On Rock 'N' Roll (Gilead Media)
45,Illuminati Hotties,FREE I.H.: This Is Not The One You've Been Waiting For (Self-Released)
44,Fontaines D.C.,A Hero's Death (Partisan)
43,Nation Of Language,Introduction, Presence (Self-Released)
42,Ka,Descendants Of Cain (Iron Works)
41,Sam Hunt,Southside (MCA Nashville)
40,Moses Sumney,græ (Jagjaguwar)
39,Porridge Radio,Every Bad (Secretly Canadian)
38,Autechre,SIGN (Warp)
37,Jason Isbell & The 400 Unit,Reunions (Southeastern)
36,Caribou,Suddenly (Merge)
35,Boldy James & The Alchemist,The Price Of Tea In China (ALC)
34,Andy Shauf,The Neon Skyline (ANTI-)
33,Against All Logic,2017-2019 (Other People)
32,Arca,KiCk i (XL)
31,The Microphones,Microphones In 2020 (P.W. Elverum & Sun)
30,Gulch,Impenetrable Cerebral Fortress (Closed Casket Activities)
29,Stay Inside,Viewing (No Sleep)
28,Phoebe Bridgers,Punisher (Dead Oceans)
27,Thundercat,It Is What It Is (Brainfeeder)
26,Jessie Ware,What's Your Pleasure? (PMR/Friends Keep Secrets/Interscope)
25,Laura Marling,Song For Our Daughter (Partisan/Chrysalis)
24,Jeff Rosenstock,No Dream (Polyvinyl)
23,Mil-Spec,World House (Lockin' Out)
22,Bob Dylan,Rough And Rowdy Ways (Columbia)
21,Kelly Lee Owens,Inner Song (Smalltown Supersound)
20,Sorry,925 (Domino)
19,Charli XCX,How I'm Feeling Now (Atlantic/Asylum)
18,Freddie Gibbs & The Alchemist,Alfredo (ESGN/ALC/Empire)
17,The 1975,Notes On A Conditional Form (Dirty Hit/Interscope)
16,Bartees Strange,Live Forever (Memory Music)
15,Perfume Genius,Set My Heart On Fire Immediately (Matador)
14,Fleet Foxes,Shore (ANTI-)
13,Yves Tumor,Heaven To A Tortured Mind (Warp)
12,Lomelda,Hannah (Double Double Whammy)
11,Hum,Inlet (Earth Analog)
10,Soccer Mommy,color theory (Loma Vista)
09,SAULT,Untitled (Rise) (Forever Living Originals)
08,Touché Amoré,Lament (Epitaph)
07,Oneohtrix Point Never,Magic Oneohtrix Point Never (Warp)
06,Boldy James & Sterling Toles,Manger On McNichols (Sector 7-G)
05,Taylor Swift,folklore (Republic)
04,HAIM,Women In Music Pt. III (Columbia)
03,Run The Jewels,RTJ4 (Jewel Runners/BMG)
02,Waxahatchee,Saint Cloud (Merge)
01,Fiona Apple,Fetch The Bolt Cutters (Epic)
