,string_text
0,"01. Yves Tumor — Heaven to a Tortured Mind
"
1,"02. Pure X — Pure X
"
2,"03. SALEM — Fires in Heaven
"
3,"04. Dua Lipa — Future Nostalgia
"
4,"05. Tame Impala — The Slow Rush
"
5,"06. Cut Copy — Freeze, Melt
"
6,"07. Run The Jewels — RTJ4
"
7,"08. 070 Shake — Modus Vivendi
"
8,"09. Yung Lean — Starz
"
9,"10. A.A.L. — 2017 - 2019
"
10,"11. The Avalanches — We Will Always Love You
"
11,"12. Dogleg — Melee
"
12,"13. Fiona Apple — Fetch The Bolt Cutters
"
13,"14. Jay Electronica — A Written Testimony
"
14,"15. Sufjan Stevens — The Ascension
"
15,"16. Caribou — Suddenly
"
16,"17. Destroyer — Have We Met
"
17,"18. Four Tet — Sixteen Oceans
"
18,"19. Grimes — Miss Anthropocene
"
19,"20. Various Artists — After Dark 3
"
20,"12/1/20 10:02 AM+22REPLY
"
21,"12/1/20 10:30 AM+8REPLY
"
22,"12/1/20 12:47 PM+3REPLY
"
23,"12/1/20 10:34 AM+8REPLY
"
24,"12/1/20 10:44 AM+1REPLY
"
25,"12/1/20 10:56 AM+3REPLY
"
26,"12/1/20 2:27 PM0REPLY
"
27,"12/1/20 12:13 PM0REPLY
"
28,"12/1/20 2:44 PM0REPLY
"
29,"1. Waxahatchee - Saint Cloud
"
30,"2. Jessie Ware - What's Your Pleasure?
"
31,"3. Oranssi Pazuzu - Mestarin Kynsi
"
32,"4. RTJ - RTJ4
"
33,"5. Pinegrove - Marigold (sorry, I still roll with Pinegrove)
"
34,"6. Jeff Rosenstock - No Dream
"
35,"7. Gulch - Impenetrable Cerebral Fortress
"
36,"8. Westside Gunn - WHO MADE THE SUNSHINE (West's best)
"
37,"9. Jeff Parker - Suite For Max Brown
"
38,"10. Ben Seretan - Youth Pastoral
"
39,"11. Daniel Romano - ""How Ill Thy World Is Formed""
"
40,"12. Potion - Cemetary EP (just heard it yesterday, but what the hell, I'm putting it here)
"
41,"13. Lydia Loveless - Daughter (the best Neko Case album not made by Neko Case)
"
42,"14. 2nd Grade - Hit To Hit
"
43,"15. Jay Electronica - A Written Testimony
"
44,"16. Code Orange - Underneath (so wonderfully dumb)
"
45,"17. CHIKA - INDUSTRY GAMES
"
46,"18. Adrianne Lenker - songs/instrumentals
"
47,"19. Coriky - Coriky
"
48,"20. DRAIN - California Cursed
"
49,"21. Those Dirty Projectors EPs
"
50,"22. Elder - Omens (the vocals are meh, but man the band do some incredible things here)
"
51,"23. Mil-Spec - World House (a nice space filler when waiting for a new Propagandhi)
"
52,"24. Sam Hunt - SOUTHSIDE (sometimes I love it)
"
53,"25. Fiona Apple - Fetch The Bolt Cutters (Fiona never came naturally to me...I'm still working on it).
"
54,"12/1/20 12:12 PM+3REPLY
"
55,"12/1/20 12:41 PM+8REPLY
"
56,"12/1/20 1:06 PM+9REPLY
"
57,"12/1/20 1:13 PM+7REPLY
"
58,"12/1/20 1:13 PM+5REPLY
"
59,"12/1/20 1:43 PM+2REPLY
"
60,"12/1/20 2:54 PM0REPLY
"
61,"12/1/20 12:43 PM0REPLY
"
62,"12/1/20 2:56 PM0REPLY
"
63,"12/1/20 12:53 PM+3REPLY
"
64,"12/1/20 12:57 PM+5REPLY
"
65,"12/1/20 1:06 PM+1REPLY
"
66,"12/1/20 1:56 PM+1REPLY
"
67,"12/1/20 10:05 AM+10REPLY
"
68,"12/1/20 10:49 AM+5REPLY
"
69,"12/1/20 10:59 AM+5REPLY
"
70,"12/1/20 12:58 PM0REPLY
"
71,"12/1/20 12:37 PM+2REPLY
"
72,"12/1/20 12:56 PM0REPLY
"
73,"12/1/20 1:50 PM0REPLY
"
74,"12/1/20 10:06 AM+10REPLY
"
75,"12/1/20 10:26 AM+5REPLY
"
76,"12/1/20 10:36 AM+13REPLY
"
77,"12/1/20 12:05 PM0REPLY
"
78,"12/1/20 10:08 AM+6REPLY
"
79,"12/1/20 12:03 PM+8REPLY
"
80,"12/1/20 1:47 PM+1REPLY
"
81,"12/1/20 1:57 PM+1REPLY
"
82,"12/1/20 1:45 PM0REPLY
"
83,"12/1/20 10:08 AM+22REPLY
"
84,"12/1/20 11:07 AM+2REPLY
"
85,"12/1/20 11:36 AM+3REPLY
"
86,"12/1/20 1:47 PM0REPLY
"
87,"1) Fiona Apple - Fetch the Bolt Cutters
"
88,"2) Caribou - Suddenly
"
89,"3) Run the Jewels - RTJ4
"
90,"4) Hayley Williams - Petals for Armor
"
91,"5) Moses Sumney - græ
"
92,"6) Haim - Women in Music, Pt. III
"
93,"7) Grimes - Miss Anthropocene
"
94,"8) Nap Eyes - Snapshot of a Beginner
"
95,"9) Yves Tumor - Heaven to a Tortured Mind
"
96,"10) Fontaines D.C. - A Hero’s Death
"
97,"12/1/20 10:10 AM+11REPLY
"
98,"12/1/20 10:31 AM+5REPLY
"
99,"12/1/20 1:48 PM+1REPLY
"
100,"1 The New Abnormal by The Strokes
"
101,"2 May Our Chambers Be Full by Emma Ruth Rundle & Thou
"
102,"3 The Neon Skyline by Andy Shauf
"
103,"4 Have We Met by Destroyer
"
104,"5 Ohms by Deftones
"
105,"6 Push by Heads.
"
106,"7 Lungs by Regrowth
"
107,"8 Eight Gates by Jason Molina
"
108,"9 WHAT THE FUCK DID WE DO TO THE EARTH by SØØN
"
109,"10 Snapshot of a Beginner by Nap Eyes
"
110,"11 When I Die, Will I Get Better? by Svalbard
"
111,"12 Set My Heart On Fire Immediately by Perfume Genius
"
112,"13 Take A Chance On Rock'n'Roll by Couch Slut
"
113,"14 Beneath by Infant Island
"
114,"15 Ultimate Success Today by Protomartyr
"
115,"16 World House by Mil-Spec
"
116,"17 Fetch The Bolt Cutters by Fiona Apple
"
117,"18 Agritprop Alterna by Peel Dream Magazine
"
118,"19 The Great Dismal by Nothing
"
119,"20 Every Bad by Porridge Radio
"
120,"21 Pure X by Pure X
"
121,"22 Dance In The Decay by DROWSE
"
122,"23 Hollow Hope by FAIM
"
123,"24 Dishevled Cuss by Disheveled Cuss
"
124,"25 Sorceress by Jess Williamson
"
125,"12/1/20 10:11 AM+17REPLY
"
126,"12/1/20 10:14 AM+10REPLY
"
127,"12/1/20 10:42 AM+9REPLY
"
128,"12/1/20 10:49 AM+4REPLY
"
129,"12/1/20 11:10 AM+3REPLY
"
130,"12/1/20 11:18 AM+4REPLY
"
131,"12/1/20 11:16 AM+1REPLY
"
132,"12/1/20 11:48 AM+22REPLY
"
133,"12/1/20 11:51 AM+3REPLY
"
134,"12/1/20 12:31 PM+1REPLY
"
135,"12/1/20 12:59 PM+1REPLY
"
136,"12/1/20 1:50 PM0REPLY
"
137,"12/1/20 12:44 PM+5REPLY
"
138,"12/1/20 1:06 PM+1REPLY
"
139,"1. Nation of Language - Introduction, Presence
"
140,"2. Nothing  - The Great Dismal
"
141,"3. Dehd - Flower of Devotion
"
142,"4. Waxahatchee - Saint Cloud
"
143,"5. Protomatyr - Ultimate Success Today
"
144,"6. Mourn - Self Worth
"
145,"7. Jeff Rosenstock - No Dream
"
146,"8. George Clanton & Nick Hexum - George Clanton & Nick Hexum
"
147,"9. Fleet Foxes - Shore
"
148,"10. Oneohtrix Point Never - Magic OPN
"
149,"11. Samia - The Baby
"
150,"12. Oh Sees - Protean Threat
"
151,"13. Bartees Strange - Live Forever
"
152,"14. Teenage Halloween - Teenage Halloween
"
153,"15. Destroyer - Have We Met
"
154,"16. Dogleg - Melee
"
155,"17. Hum - Inlet
"
156,"18. Phoebe Bridgers - Punisher
"
157,"19. Porridge Radio - Every Bad
"
158,"20. Yves Tumor - Heaven to a Tortured Mind
"
159,"21. Pure X - Pure X
"
160,"22. Hazel English - Wake UP!
"
161,"23. Westerman - Your Hero is Not Dead
"
162,"24. Bright Eyes - Down in the Weeds, Where the World Once Was
"
163,"25. Future Islands - As Long As You Are
"
