,string_text
0,"01. Yves Tumor — Heaven to a Tortured Mind
"
1,"02. Pure X — Pure X
"
2,"03. SALEM — Fires in Heaven
"
3,"04. Dua Lipa — Future Nostalgia
"
4,"05. Tame Impala — The Slow Rush
"
5,"06. Cut Copy — Freeze, Melt
"
6,"07. Run The Jewels — RTJ4
"
7,"08. 070 Shake — Modus Vivendi
"
8,"09. Yung Lean — Starz
"
9,"10. A.A.L. — 2017 - 2019
"
10,"11. The Avalanches — We Will Always Love You
"
11,"12. Dogleg — Melee
"
12,"13. Fiona Apple — Fetch The Bolt Cutters
"
13,"14. Jay Electronica — A Written Testimony
"
14,"15. Sufjan Stevens — The Ascension
"
15,"16. Caribou — Suddenly
"
16,"17. Destroyer — Have We Met
"
17,"18. Four Tet — Sixteen Oceans
"
18,"19. Grimes — Miss Anthropocene
"
19,"20. Various Artists — After Dark 3
"
20,"12/1/20 10:02 AM+28REPLY
"
21,"12/1/20 10:30 AM+15REPLY
"
22,"12/1/20 12:47 PM+3REPLY
"
23,"12/2/20 10:58 AM+1REPLY
"
24,"12/1/20 10:34 AM+17REPLY
"
25,"12/1/20 10:44 AM+8REPLY
"
26,"12/1/20 10:56 AM+5REPLY
"
27,"12/1/20 2:27 PM+6REPLY
"
28,"12/1/20 12:13 PM+1REPLY
"
29,"12/1/20 2:44 PM+1REPLY
"
30,"12/1/20 4:36 PM0REPLY
"
31,"12/1/20 6:23 PM+3REPLY
"
32,"1. Waxahatchee - Saint Cloud
"
33,"2. Jessie Ware - What's Your Pleasure?
"
34,"3. Oranssi Pazuzu - Mestarin Kynsi
"
35,"4. RTJ - RTJ4
"
36,"5. Pinegrove - Marigold (sorry, I still roll with Pinegrove)
"
37,"6. Jeff Rosenstock - No Dream
"
38,"7. Gulch - Impenetrable Cerebral Fortress
"
39,"8. Westside Gunn - WHO MADE THE SUNSHINE (West's best)
"
40,"9. Jeff Parker - Suite For Max Brown
"
41,"10. Ben Seretan - Youth Pastoral
"
42,"11. Daniel Romano - ""How Ill Thy World Is Formed""
"
43,"12. Potion - Cemetary EP (just heard it yesterday, but what the hell, I'm putting it here)
"
44,"13. Lydia Loveless - Daughter (the best Neko Case album not made by Neko Case)
"
45,"14. 2nd Grade - Hit To Hit
"
46,"15. Jay Electronica - A Written Testimony
"
47,"16. Code Orange - Underneath (so wonderfully dumb)
"
48,"17. CHIKA - INDUSTRY GAMES
"
49,"18. Adrianne Lenker - songs/instrumentals
"
50,"19. Coriky - Coriky
"
51,"20. DRAIN - California Cursed
"
52,"21. Those Dirty Projectors EPs
"
53,"22. Elder - Omens (the vocals are meh, but man the band do some incredible things here)
"
54,"23. Mil-Spec - World House (a nice space filler when waiting for a new Propagandhi)
"
55,"24. Sam Hunt - SOUTHSIDE (sometimes I love it)
"
56,"25. Fiona Apple - Fetch The Bolt Cutters (Fiona never came naturally to me...I'm still working on it).
"
57,"12/1/20 12:12 PM+2REPLY
"
58,"12/1/20 12:41 PM+13REPLY
"
59,"12/1/20 1:06 PM+25REPLY
"
60,"12/1/20 1:13 PM+18REPLY
"
61,"12/1/20 1:13 PM+2REPLY
"
62,"12/1/20 1:43 PM+6REPLY
"
63,"12/1/20 5:26 PM+15REPLY
"
64,"12/2/20 10:11 AM+1REPLY
"
65,"12/1/20 7:52 PM+10REPLY
"
66,"12/1/20 2:54 PM+19REPLY
"
67,"12/1/20 3:47 PM+20REPLY
"
68,"12/2/20 6:46 AM+4REPLY
"
69,"12/2/20 8:32 AM-2REPLY
"
70,"12/2/20 11:02 AM0REPLY
"
71,"12/1/20 12:43 PM+3REPLY
"
72,"12/1/20 2:56 PM+2REPLY
"
73,"12/1/20 12:53 PM+12REPLY
"
74,"12/1/20 4:37 PM+12REPLY
"
75,"12/1/20 4:16 PM+3REPLY
"
76,"12/1/20 4:40 PM0REPLY
"
77,"12/1/20 7:50 PM0REPLY
"
78,"12/1/20 6:44 PM+3REPLY
"
79,"12/1/20 6:54 PM+2REPLY
"
80,"12/1/20 6:55 PM-2REPLY
"
81,"12/1/20 12:57 PM+10REPLY
"
82,"12/1/20 1:06 PM+5REPLY
"
83,"12/1/20 1:56 PM+6REPLY
"
84,"12/1/20 4:02 PM+5REPLY
"
85,"12/1/20 3:06 PM+4REPLY
"
86,"12/2/20 8:30 AM0REPLY
"
87,"12/2/20 8:33 AM0REPLY
"
88,"12/1/20 10:05 AM+12REPLY
"
89,"12/1/20 10:49 AM+8REPLY
"
90,"12/1/20 10:59 AM+7REPLY
"
91,"12/1/20 12:58 PM+3REPLY
"
92,"12/1/20 12:37 PM+5REPLY
"
93,"12/1/20 12:56 PM+4REPLY
"
94,"12/1/20 1:50 PM+2REPLY
"
95,"12/1/20 10:06 AM+13REPLY
"
96,"12/1/20 10:26 AM+6REPLY
"
97,"12/1/20 10:36 AM+14REPLY
"
98,"12/1/20 12:05 PM+2REPLY
"
99,"12/1/20 10:08 AM+3REPLY
"
100,"12/1/20 12:03 PM+11REPLY
"
101,"12/1/20 1:47 PM+1REPLY
"
102,"12/1/20 1:57 PM+2REPLY
"
103,"12/1/20 1:45 PM+1REPLY
"
104,"12/2/20 8:36 AM+1REPLY
"
105,"12/1/20 10:08 AM+27REPLY
"
106,"12/1/20 11:07 AM+4REPLY
"
107,"12/1/20 11:36 AM+4REPLY
"
108,"12/1/20 1:47 PM+3REPLY
"
109,"1) Fiona Apple - Fetch the Bolt Cutters
"
110,"2) Caribou - Suddenly
"
111,"3) Run the Jewels - RTJ4
"
112,"4) Hayley Williams - Petals for Armor
"
113,"5) Moses Sumney - græ
"
114,"6) Haim - Women in Music, Pt. III
"
115,"7) Grimes - Miss Anthropocene
"
116,"8) Nap Eyes - Snapshot of a Beginner
"
117,"9) Yves Tumor - Heaven to a Tortured Mind
"
118,"10) Fontaines D.C. - A Hero’s Death
"
119,"12/1/20 10:10 AM+18REPLY
"
120,"12/1/20 10:31 AM+10REPLY
"
121,"12/1/20 1:48 PM+2REPLY
"
122,"12/2/20 8:37 AM0REPLY
"
123,"12/2/20 9:56 AM+2REPLY
"
124,"1 The New Abnormal by The Strokes
"
125,"2 May Our Chambers Be Full by Emma Ruth Rundle & Thou
"
126,"3 The Neon Skyline by Andy Shauf
"
127,"4 Have We Met by Destroyer
"
128,"5 Ohms by Deftones
"
129,"6 Push by Heads.
"
130,"7 Lungs by Regrowth
"
131,"8 Eight Gates by Jason Molina
"
132,"9 WHAT THE FUCK DID WE DO TO THE EARTH by SØØN
"
133,"10 Snapshot of a Beginner by Nap Eyes
"
134,"11 When I Die, Will I Get Better? by Svalbard
"
135,"12 Set My Heart On Fire Immediately by Perfume Genius
"
136,"13 Take A Chance On Rock'n'Roll by Couch Slut
"
137,"14 Beneath by Infant Island
"
138,"15 Ultimate Success Today by Protomartyr
"
139,"16 World House by Mil-Spec
"
140,"17 Fetch The Bolt Cutters by Fiona Apple
"
141,"18 Agritprop Alterna by Peel Dream Magazine
"
142,"19 The Great Dismal by Nothing
"
143,"20 Every Bad by Porridge Radio
"
144,"21 Pure X by Pure X
"
145,"22 Dance In The Decay by DROWSE
"
146,"23 Hollow Hope by FAIM
"
147,"24 Dishevled Cuss by Disheveled Cuss
"
148,"25 Sorceress by Jess Williamson
"
149,"12/1/20 10:11 AM+27REPLY
"
150,"12/1/20 10:14 AM+14REPLY
"
151,"12/1/20 6:46 PM+4REPLY
"
152,"12/1/20 10:42 AM+12REPLY
"
153,"12/1/20 10:49 AM+9REPLY
"
154,"12/1/20 11:10 AM+6REPLY
"
155,"12/1/20 11:18 AM+8REPLY
"
156,"12/1/20 6:47 PM+2REPLY
"
157,"12/1/20 11:16 AM+4REPLY
"
158,"12/1/20 11:48 AM+42REPLY
"
159,"12/1/20 11:51 AM+4REPLY
"
160,"12/1/20 12:31 PM+4REPLY
"
161,"12/1/20 12:59 PM+3REPLY
"
